Year,PercentageOfReturn(%)
2000,9.75
2001,8.25
2002,7.0
2003,5.375
2004,5.125
2005,5.75
2006,6.625
2007,8.25
2008,8.875
2009,7.75
2010,7.375
2011,9.125
2012,8.875
2013,8.875
2014,8.625
2015,8.375
2016,7.25
2017,6.625
2018,6.5
2019,7.0
2020,6.05
2021,5.2
2022,5.3
2023,6.625
2024,6.325
